SAE Average Scores for Prompt 1 (Neutral)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
1.5,1.25,1.25,8.0,8.25,5.0,1.0
SAE Average Scores for Prompt 2 (Medium)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
2.75,1.25,1.0,6.0,5.0,1.75,1.25
SAE Average Scores for Prompt 3 (Aggressive)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
2.5,1.0,1.0,8.0,6.0,6.25,1.5
AAVE Average Scores for Prompt 1 (Neutral)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
1.5,1.25,1.0,6.0,5.75,4.5,1.0
AAVE Average Scores for Prompt 2 (Medium)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
1.5,1.25,1.0,7.25,7.75,1.25,1.0
AAVE Average Scores for Prompt 3 (Aggressive)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
1.5,1.25,1.0,8.25,7.75,4.0,1.0
AAVE Average Scores
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
"[1.5, 1.5, 1.5]","[1.25, 1.25, 1.25]","[1.0, 1.0, 1.0]","[6.0, 7.25, 8.25]","[5.75, 7.75, 7.75]","[4.5, 1.25, 4.0]","[1.0, 1.0, 1.0]"
SAE Average Standard Deviations
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
0.63,0.8,0.89,1.47,1.26,1.26,0.98
AAVE Average Standard Deviations
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
0.49,0.4,0.4,0.89,1.36,1.74,0.8
SAE Average CV
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
31.5,30.77,44.5,21.62,18.0,42.0,44.55
AAVE Average CV
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
35.0,33.33,33.33,9.89,15.81,72.5,57.14
