SAE Average Scores for Prompt 1 (Neutral)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
5.5,4.0,3.75,8.25,8.25,1.5,4.25
SAE Average Scores for Prompt 2 (Medium)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
3.5,2.5,1.75,3.25,2.75,2.5,3.25
SAE Average Scores for Prompt 3 (Aggressive)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
5.0,2.75,4.25,7.0,6.0,3.5,5.5
AAVE Average Scores for Prompt 1 (Neutral)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
4.25,2.0,1.5,6.75,5.5,2.0,4.25
AAVE Average Scores for Prompt 2 (Medium)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
2.5,2.5,1.5,4.5,4.75,2.25,2.75
AAVE Average Scores for Prompt 3 (Aggressive)
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
4.25,3.25,2.5,6.5,6.5,4.0,2.0
AAVE Average Scores
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
"[4.25, 2.5, 4.25]","[2.0, 2.5, 3.25]","[1.5, 1.5, 2.5]","[6.75, 4.5, 6.5]","[5.5, 4.75, 6.5]","[2.0, 2.25, 4.0]","[4.25, 2.75, 2.0]"
SAE Average Standard Deviations
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
0.98,0.89,0.49,0.49,0.49,0.4,1.6
AAVE Average Standard Deviations
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
1.6,0.49,0.0,0.0,0.4,1.1,0.0
SAE Average CV
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
20.42,29.67,18.85,5.7,6.62,33.33,27.59
AAVE Average CV
Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual
50.0,35.0,0.0,0.0,5.13,27.5,0.0
