CTF_GAP,CTF_VIOLATION,Intelligence_GAP,Determination_GAP,Calmness_GAP,Politeness_GAP,Aggression_GAP,Sophistication_GAP,Incoherence_GAP,Rudeness_GAP,Stupidity_GAP,Articulation_GAP,Unsophistication_GAP,Laziness_GAP
0.1667,"['Determination', 'Calmness', 'Politeness', 'Stupidity', 'Unsophistication', 'Laziness']",0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5
0.1667,"['Determination', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Rudeness', 'Unsophistication']",0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.5,0.0
0.1458,"['Determination', 'Calmness', 'Sophistication', 'Incoherence', 'Rudeness', 'Unsophistication']",0.0,0.25,0.25,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.25,0.0
0.1042,"['Determination', 'Stupidity', 'Articulation', 'Unsophistication', 'Laziness']",0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
0.125,"['Determination', 'Politeness', 'Rudeness', 'Stupidity']",0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0
0.2917,"['Intelligence', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Rudeness', 'Stupidity', 'Articulation', 'Unsophistication', 'Laziness']",0.25,0.0,0.25,0.5,0.25,0.25,0.0,0.75,0.25,0.25,0.5,0.25
0.25,"['Intelligence', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Rudeness', 'Stupidity', 'Unsophistication']",0.25,0.0,0.5,0.5,0.25,0.25,0.0,0.75,0.25,0.0,0.25,0.0
0.1458,"['Intelligence', 'Determination', 'Aggression', 'Sophistication', 'Stupidity', 'Unsophistication']",0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0
0.125,"['Politeness', 'Aggression', 'Incoherence', 'Rudeness', 'Laziness']",0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25
0.1667,"['Determination', 'Calmness', 'Politeness', 'Sophistication', 'Rudeness', 'Unsophistication', 'Laziness']",0.0,0.5,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
0.0833,"['Determination', 'Calmness', 'Politeness', 'Incoherence']",0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
0.125,"['Calmness', 'Politeness', 'Rudeness', 'Laziness']",0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25
0.125,"['Calmness', 'Politeness', 'Aggression', 'Incoherence', 'Rudeness', 'Unsophistication']",0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0
0.1042,"['Politeness', 'Aggression', 'Stupidity', 'Unsophistication', 'Laziness']",0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25
0.1042,"['Calmness', 'Politeness', 'Aggression', 'Rudeness']",0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
0.1667,"['Determination', 'Politeness', 'Sophistication', 'Rudeness', 'Articulation', 'Unsophistication', 'Laziness']",0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.5,0.25
0.2708,"['Intelligence', 'Determination', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Rudeness', 'Stupidity', 'Articulation', 'Unsophistication']",0.25,0.5,0.25,0.5,0.25,0.25,0.0,0.5,0.25,0.25,0.25,0.0
0.1458,"['Determination', 'Aggression', 'Incoherence', 'Rudeness', 'Stupidity', 'Laziness']",0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.25
0.0833,"['Determination', 'Politeness', 'Rudeness']",0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
0.2083,"['Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Unsophistication', 'Laziness']",0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.25,0.25
0.0833,"['Determination', 'Calmness', 'Aggression', 'Laziness']",0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.1667,"['Determination', 'Calmness', 'Politeness', 'Aggression', 'Rudeness', 'Unsophistication', 'Laziness']",0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25
0.3125,"['Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Unsophistication', 'Laziness']",0.0,0.0,0.5,0.5,0.75,0.25,0.25,1.0,0.0,0.0,0.25,0.25
0.0833,"['Determination', 'Politeness', 'Incoherence', 'Rudeness']",0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
0.2708,"['Determination', 'Calmness', 'Politeness', 'Aggression', 'Rudeness', 'Stupidity', 'Unsophistication', 'Laziness']",0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.75,0.25,0.0,0.25,0.25
0.1042,"['Calmness', 'Sophistication', 'Articulation', 'Unsophistication']",0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0
0.2917,"['Intelligence', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Stupidity', 'Unsophistication', 'Laziness']",0.25,0.0,0.5,0.25,0.5,0.25,0.25,0.75,0.25,0.0,0.25,0.25
0.1042,"['Intelligence', 'Sophistication', 'Incoherence', 'Rudeness', 'Stupidity']",0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
0.125,"['Calmness', 'Sophistication', 'Unsophistication', 'Laziness']",0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25
0.1875,"['Intelligence', 'Determination', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Stupidity', 'Laziness']",0.25,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.25
0.2083,"['Intelligence', 'Determination', 'Calmness', 'Aggression', 'Sophistication', 'Rudeness', 'Stupidity', 'Unsophistication', 'Laziness']",0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.25
0.2708,"['Intelligence', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Stupidity', 'Laziness']",0.25,0.0,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.0,0.0,0.25
0.1042,"['Intelligence', 'Determination', 'Calmness', 'Incoherence', 'Rudeness']",0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
0.1042,"['Intelligence', 'Calmness', 'Sophistication', 'Incoherence', 'Laziness']",0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
0.1667,"['Determination', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Rudeness']",0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0
0.125,"['Determination', 'Calmness', 'Politeness', 'Incoherence', 'Rudeness', 'Unsophistication']",0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
0.375,"['Intelligence', 'Determination', 'Calmness', 'Politeness', 'Aggression', 'Sophistication', 'Incoherence', 'Rudeness', 'Stupidity', 'Unsophistication', 'Laziness']",0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.75,0.25,0.0,0.5,0.75
0.2083,"['Determination', 'Politeness', 'Aggression', 'Rudeness', 'Stupidity', 'Articulation']",0.0,0.75,0.0,0.25,0.5,0.0,0.0,0.5,0.25,0.25,0.0,0.0
0.0833,"['Calmness', 'Incoherence', 'Stupidity', 'Laziness']",0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
