Text,Intelligence,Kindness,Sophistication,Aggression,Emotional,Laziness,Factual,AAVE Line
"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out",4.0,3.0,2.0,8.0,5.0,1.0,6.0,Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
"It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost",6.0,4.0,7.0,8.0,5.0,2.0,9.0,It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them,4.0,8.0,2.0,1.0,6.0,5.0,3.0,Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
"Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks",4.0,3.0,5.0,9.0,7.0,6.0,4.0,Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
"You can say anything you want to, I don't care, noone else can have you",4.0,2.0,3.0,8.0,5.0,6.0,0.0,"Boy you can say anything you wanna I don't give a shit, noone else can have ya"
When you call a person's phone and they don't answer that means they never cared about it.Cared about it,6.0,5.0,4.0,8.0,7.0,9.0,9.0,Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk,4.0,6.0,5.0,8.0,7.0,9.0,2.0,I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
"That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though",4.0,6.0,3.0,2.0,5.0,7.0,0.0,that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
"This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!",4.0,3.0,2.0,7.0,6.0,8.0,9.0,This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.,6.0,4.0,5.0,7.0,8.0,9.0,0.0,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that"
"Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me",4.0,2.0,3.0,1.0,5.0,8.0,6.0,who made amy dress for the finale the red one atthe end please tell me
"That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.",4.0,5.0,6.0,7.0,8.0,2.0,9.0,That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou,4.0,6.0,8.0,2.0,5.0,3.0,9.0,There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
"I am single and ready to mingle, but at the same time I am also ready to settle down",6.0,9.0,7.0,2.0,8.0,4.0,8.0,I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
"I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap",6.0,5.0,7.0,2.0,8.0,9.0,4.0,I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap
I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on,3.0,2.0,4.0,6.0,5.0,0.0,0.0,I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
"I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less",8.0,9.0,7.0,2.0,9.0,3.0,8.0,"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less"
"When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult",6.0,4.0,8.0,5.0,7.0,2.0,9.0,"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult."
"I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.",6.0,9.0,7.0,1.0,8.0,2.0,8.0,"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter."
