Row,Original Index,Person1,Intelligence1,Determination1,Calmness1,Politeness1,Aggression1,Sophistication1,Incoherence1,Rudeness1,Stupidity1,Articulation1,Unsophistication1,Laziness1,Person2,Intelligence2,Determination2,Calmness2,Politeness2,Aggression2,Sophistication2,Incoherence2,Rudeness2,Stupidity2,Articulation2,Unsophistication2,Laziness2
0,2,"He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.
",4,3,3,3,2,3,1,1,1,4,2,2,"He up stairs rights now and I'm down here getting ready its aboutto go down nite nite
",2,2,2,2,2,2,3,2,2,2,2,2
1,0,"Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.
",4,3,3,3,2,3,2,2,2,4,2,2,"Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-
",3,3,2,2,2,2,3,2,2,3,3,2
2,3,"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out
",4,5,2,2,4,3,2,4,1,3,2,1,"Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
",3,4,2,1,4,2,2,4,1,2,3,1
3,9,"When you call a person's phone and they don't answer that means they never cared about it.Cared about it
",4,3,2,2,2,3,1,2,1,4,2,2,"Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
",2,2,1,1,4,1,4,4,3,1,4,1
4,4,"It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost
",4,5,3,3,4,3,2,2,2,4,2,2,"It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
",3,4,4,3,2,3,2,2,2,3,2,2
5,6,"Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks
",4,3,3,3,3,3,2,2,2,3,2,2,"Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
",3,4,3,3,2,2,2,1,2,3,2,2
6,7,"You can say anything you want to, I don't care, noone else can have you
",4,3,2,1,4,2,1,3,2,3,2,2,"Boy you can say anything you wanna I don't give a shit, noone else can have ya
",3,4,1,1,3,1,2,4,1,2,1,2
7,8,"At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part
",4,3,3,4,2,3,1,1,1,5,1,1,"3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!
",2,3,2,2,3,2,4,3,2,2,3,2
8,1,"The little girl is not going to win because i am the king, soshe needs to stop what she is doing
",4,3,2,1,4,2,1,4,2,3,2,1,"this lil girl aint going to win im the king of thisshe better fall back ....
",3,3,2,2,3,1,3,3,2,2,2,2
9,5,"A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them
",4,3,3,4,2,3,2,1,2,4,2,2,"Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
",3,4,2,2,3,2,2,2,2,2,3,2
10,16,"That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.
",4,3,3,4,2,3,2,2,1,4,2,2,"That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
",3,2,2,3,2,2,3,2,2,3,2,2
11,17,"My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately
",4,3,2,3,1,3,1,1,2,3,2,2,"My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs
",2,3,1,1,4,1,3,4,1,2,3,1
12,10,"I do not want to see twerking videos on my timeline because thesepeople do not know how to twerk
",4,3,4,4,2,4,1,1,1,4,1,1,"I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
",2,2,2,1,4,1,3,4,2,2,4,2
13,14,"Who made Amy's dress for the finale, the red one at the end. Please, tell me.the end. Please, tell me
",4,3,2,4,1,3,1,1,2,3,2,2,"who made amy dress for the finale the red one atthe end please tell me
",3,3,3,3,1,2,2,1,2,2,2,2
14,11,"That was supposed to be a tweet but, that was funny.   I don't know how the hell I done thatto you, my bad, it was funny though
",3,2,3,2,2,2,2,2,2,3,3,2,"that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
",2,2,3,2,1,2,2,1,2,2,2,2
15,15,"Old people are gross. This friend has just kissed a stripperlike she was his wife
",2,3,1,1,4,2,2,4,2,3,3,2,"Old niggas are foul . This nigga just kiss a stripperlike it was his wife
",2,3,1,1,4,2,2,4,2,2,3,2
16,13,"Does anyone else have a TV that makes every movie look very fake? These TV’s are made too well. Mine is like that.
",4,3,2,3,1,2,2,1,2,3,2,2,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that
",3,4,2,3,2,3,2,2,2,3,2,2
17,18,"I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend
",2,3,2,1,4,2,1,4,2,3,3,2,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE
",2,3,1,1,4,1,3,3,2,1,1,2
18,19,"There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou 
",4,3,2,3,1,4,1,1,2,4,1,2,"There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S
",3,3,3,3,1,3,1,1,2,4,1,2
19,12,"This group of five-year-olds just tried to holler at me! That’s funny. When I told them how oldI was, they scattered. I’m laughing!
",4,3,4,3,2,4,2,1,2,4,2,1,"This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
",3,2,3,3,1,3,2,2,2,3,1,2
20,20,"I am single and ready to mingle, but at the same time I am also ready to settle down
",4,3,3,4,2,4,2,2,2,4,2,2,"I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
",3,4,2,3,3,3,2,3,2,3,2,2
