Row,Original Index,Text,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
0,7,"Boy you can say anything you wanna I don't give a shit, noone else can have ya
",3,4,2,1,5,2,3,4,2,3,4,2
1,8,"3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!
",4,4,2,3,2,3,1,2,1,4,2,1
2,5,"Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
",3,4,2,3,2,3,2,1,2,3,2,2
3,3,"Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
",3,5,2,1,4,3,2,4,2,3,3,1
4,0,"Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-
",4,3,3,3,2,3,2,1,2,3,2,1
5,9,"Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
",2,3,1,1,3,2,4,4,2,2,4,2
6,6,"Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
",4,3,3,3,2,4,2,2,1,4,2,2
7,4,"It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
",4,5,3,3,4,3,2,2,2,4,2,2
8,2,"He up stairs rights now and I'm down here getting ready its aboutto go down nite nite
",3,4,2,2,3,2,2,3,2,3,3,2
9,1,"this lil girl aint going to win im the king of thisshe better fall back ....
",2,4,1,1,4,2,1,4,2,3,3,1
10,10,"I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun
",4,3,3,2,2,4,1,2,1,4,2,1
11,15,"Old niggas are foul . This nigga just kiss a stripperlike it was his wife
",2,3,2,1,4,2,2,4,2,2,4,2
12,11,"that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol
",3,2,3,3,1,3,3,2,2,3,2,2
13,14,"who made amy dress for the finale the red one atthe end please tell me
",3,2,3,4,1,3,2,1,2,3,2,2
14,16,"That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.
",4,3,3,3,3,3,2,2,2,4,2,1
15,13,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that
",3,2,3,3,1,2,2,1,2,3,3,2
16,12,"This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol
",4,3,3,3,2,3,2,2,1,4,2,2
