Tweet,Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-,3,2,2,2,3,2,2,3,2,3,3,3
this lil girl aint going to win im the king of thisshe better fall back ....,2,4,1,1,5,1,3,5,3,2,5,2
He up stairs rights now and I'm down here getting ready its aboutto go down nite nite,2,3,2,2,3,1,4,3,3,2,5,3
Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND,3,5,2,1,4,2,3,4,2,3,4,1
It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what,3,5,2,2,4,3,2,2,1,3,2,1
Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em,2,4,3,3,2,2,3,2,2,2,4,2
Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3,3,4,2,2,3,2,3,2,2,2,3,2
"Boy you can say anything you wanna I don't give a shit, noone else can have ya",2,4,2,1,4,1,3,5,3,2,5,2
3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!,2,4,2,2,3,1,4,3,3,2,5,2
Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it,2,3,2,1,4,1,3,4,3,2,5,4
I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun,2,3,2,1,4,1,3,4,3,2,5,3
that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol,2,1,3,3,1,1,3,1,3,2,4,3
This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol,3,2,4,3,1,2,2,1,2,3,3,2
"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that",3,2,3,3,2,2,2,2,2,3,3,2
who made amy dress for the finale the red one atthe end please tell me,2,3,3,3,1,2,4,1,3,2,4,3
Old niggas are foul . This nigga just kiss a stripperlike it was his wife,2,3,2,1,4,1,3,4,3,2,5,3
That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.,3,3,2,3,2,2,2,2,1,3,3,2
My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs,2,4,2,1,4,1,3,4,3,2,5,3
"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE",2,4,1,1,5,1,3,5,4,2,5,2
There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S,4,3,4,4,2,5,1,1,1,5,1,1
I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down,3,4,3,3,2,3,2,2,2,3,3,2
I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap,3,2,3,3,1,2,3,2,2,2,3,3
I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.,2,4,2,2,3,1,4,3,3,2,5,2
Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!,3,4,2,2,3,2,2,3,2,3,3,2
Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.,2,3,1,1,4,1,3,5,3,2,5,2
"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less",3,4,2,3,3,2,2,2,2,3,3,2
"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.",3,4,2,3,4,3,2,2,1,3,3,2
I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!,3,4,2,2,3,2,2,3,2,3,4,2
"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.",3,4,4,4,1,2,2,1,1,3,3,1
Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone,3,4,4,2,2,3,2,3,2,3,3,2
"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods",3,2,3,2,3,2,2,3,2,3,4,2
yes theres also this black female Dr you need to check out.. when i rememberher name ill link you,3,2,3,4,1,2,2,1,1,3,2,2
so he put a status that says lonely up and a modelhoe just hit him up...,2,3,3,2,3,1,3,3,3,2,4,3
The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia,3,2,3,2,1,2,3,2,2,3,4,3
So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix,3,4,2,2,3,2,3,3,2,3,4,2
Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business,3,4,2,2,4,2,2,3,2,3,3,2
"Atlanta fans might as well clock out.. You already know theending to this story ...""",3,2,2,2,3,2,2,3,2,3,3,2
I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit,3,4,2,1,4,2,3,4,2,3,4,2
Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal,3,2,2,2,3,2,3,3,2,2,4,3
Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit,2,3,2,1,4,1,3,4,3,2,5,2
some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results,3,4,3,2,3,2,2,3,2,3,3,2
I wonder how much the person who is in charge of theobama twitter account gets paid,3,2,4,4,1,2,1,1,1,3,3,2
And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called,3,2,3,3,1,2,3,2,2,2,3,2
which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis,2,3,2,1,4,1,3,4,4,2,5,3
you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet,4,3,4,4,1,3,1,1,1,4,2,1
yeah man they still the same just more turnt up now that we all grown and theycan say what they want,3,2,4,3,2,2,3,2,2,3,4,3
This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity,3,4,2,2,3,2,2,3,2,3,4,2
Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost,2,3,2,1,4,1,3,3,3,2,4,2
Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted,3,4,2,2,4,3,2,3,2,3,3,2
Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is,3,4,3,3,2,2,2,2,2,3,3,2
So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid,3,4,2,4,1,2,3,1,2,3,3,2
"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year.",3,2,2,2,1,2,3,3,2,3,4,2
"N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass",2,3,2,1,4,1,4,4,3,2,5,3
I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for,2,4,2,1,4,1,3,4,3,2,5,2
If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better,2,3,2,2,4,1,3,3,2,2,4,3
"If I could grow a perfect pair of breasts, they wouldsit next to my bed.",3,2,3,2,1,2,3,2,3,3,3,2
YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....,3,2.5,2,3,1,2,3,1,2,2,3,2
Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol,2,3,2,2,3,1,3,2,3,2,4,3
Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..,2,3,3,3,2,1,3,2,2,2,4,3
ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol,2,2,2,1,4,1,3,4,3,2,4,3
not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!,3,2,4,3,1,2,2,2,1,3,3,2
Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks,3,4,4,5,1,2,2,1,1,3,3,2
bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk,2,4,1,1,5,1,4,5,3,2,5,3
ibknow where u from he said u know him look at my pic Ijust up of him bro,2,3,2,1,3,1,4,3,3,1,5,3
i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up,2,4,2,1,4,1,3,4,3,2,5,2
Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday,2,2,3,3,1,2,3,1,2,2,3,3
You really can't ever be just friends with someone you usedto be in love with.,3,4,3,3,2,3,2,2,1,4,2,2
everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all,2,3,1,1,4,1,3,4,3,2,5,2
"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living....",4,3,3,2,2,3,1,2,1,4,2,1
"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!",3,4,2,2,4,2,3,3,2,2,4,3
Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on,2,3,2,2,3,1,4,3,3,2,4,3
So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration,3,2,3,2,2,2,3,2,2,3,3,2
Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(,3,2,3,4,1,3,1,1,1,4,2,2
"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.",3,2,4,4,1,3,2,1,1,3,2,2
If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me,2,4,1,1,5,1,3,5,3,2,5,2
He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..,2,3,2,1,4,1,3,4,3,2,5,2
Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..,3,2,4,2,1,2,2,3,2,3,4,4
"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.",4,3,4,3,2,4,1,2,1,4,2,2
Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice),2,4,3,1,4,1,3,4,3,2,5,2
imma let y'all know soon and you coming if I have todrag u out the house,3,4,2,2,4,2,3,3,2,2,4,2
I try to let u pussy niggas eat its time to putu pussy boys to sleep,2,4,2,1,5,1,3,5,3,2,5,2
But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms,3,4,3,2,1,2,3,2,2,2,4,3
He mad He came over My House unannounced and I wasgone. Not My Problem !,2,3,2,1,4,1,3,4,3,2,5,3
I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!,3,4,2,2,4,2,2,3,2,3,3,1
with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing,3,4,3,2,3,2,3,2,2,3,3,2
if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve,3,4,3,2,2,2,3,2,2,2,3,2
"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol",3,2,4,3,1,2,2,1,2,3,3,2
Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh,3,4,2,1,4,2,2,4,2,3,4,1
Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases,3,2,3,2,2,2,3,2,2,3,4,2
"I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally",3,4,2,2,4,2,3,3,2,3,4,2
So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents,3,3,4,3,2,2,2,2,2,3,3,3
Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too,3,4,2,2,3,2,3,3,2,3,4,2
I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with,3,2,2,2,3,2,3,3,2,2,3,2
I know how to work the system the clothes I bring in looks better than what they haveon their backs how,3,4,2,2,3,2,3,3,2,2,4,1
Gatorade and powerade use to be so nasty to me butnow I luh Dat shit,3,2,3,2,1,1,3,2,2,2,4,3
lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho,3,2,2,2,3,2,2,3,2,3,3,2
they all look good that's why if I wasn't black Iwould hope I was Persian,3,2,3,3,1,3,2,1,1,3,2,2
