Row,Original Index,Person1,Intelligence1,Determination1,Calmness1,Politeness1,Aggression1,Sophistication1,Incoherence1,Rudeness1,Stupidity1,Articulation1,Unsophistication1,Laziness1,Person2,Intelligence2,Determination2,Calmness2,Politeness2,Aggression2,Sophistication2,Incoherence2,Rudeness2,Stupidity2,Articulation2,Unsophistication2,Laziness2
1,1,"Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.
",3,2,3,3,2,3,2,2,2,3,2,2,"Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-
",2,2,2,2,3,2,4,3,3,2,4,4
2,2,"The little girl is not going to win because i am the king, soshe needs to stop what she is doing
",3,4,2,1,4,3,1,4,2,4,2,1,"this lil girl aint going to win im the king of thisshe better fall back ....
",2,5,1,1,5,1,3,5,3,2,4,1
3,3,"He is upstairs rights now and I'm down here getting ready. It’s aboutto go down. Nite nite.
",3,3,3,3,3,3,2,2,2,4,2,2,"He up stairs rights now and I'm down here getting ready its aboutto go down nite nite
",2,3,3,2,3,1,4,3,3,2,4,4
4,4,"Shit, I am who I am. I'm done apologizing. I'm doing it for Shaq and my kids, that's my attitude this yearand if you don't like it, get out
",3,4,2,2,3,3,1,3,2,3,3,2,"Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND
",3,5,1,1,5,1,3,5,3,2,5,1
5,5,"It is very rare that I get what I want, but now that is has happened, I do not plan onlosing it, no matter the cost
",4,5,2,2,4,4,1,3,1,4,2,1,"It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what
",3,5,2,2,4,3,2,3,2,3,3,1
6,6,"A quick shout out to Nestboy Vick as he is good at rapping. Keep releasingthe track as I want them
",3,4,4,4,2,4,1,1,2,4,2,2,"Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em
",2,4,2,1,3,1,4,3,3,2,4,3
7,7,"Miami Heat Player Lebron James had 34 points, 16 rebounds, 7 assists, 3 steals, and 1 block. Whereas Boston Celtics Player Kevin Garnett had 24 points, 11 rebounds, 4 assists,2 steals, and 3 blocks
",4,3,3,4,2,4,1,1,1,4,2,1,"Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3
",2,3,3,2,3,1,2,2,3,2,4,4
8,8,"You can say anything you want to, I don't care, noone else can have you
",3,4,3,3,3,3,2,3,2,4,3,2,"Boy you can say anything you wanna I don't give a shit, noone else can have ya
",3,5,1,1,4,2,2,4,2,3,4,2
9,9,"At 3:05, when the bell rings, I'm saying bye to my significant other and running out of PSM. By 3:45, I should be homeThen it's time to part
",4,4,4,4,1,4,1,1,1,4,1,2,"3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!
",2,4,3,2,3,1,4,3,3,2,4,3
10,10,"When you call a person's phone and they don't answer that means they never cared about it.Cared about it
",2,2,3,3,2,3,1,2,3,4,2,1,"Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it
",2,4,1,1,4,1,4,5,3,2,5,3
