SAE Average Scores
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
2.63,2.97,2.28,2.13,2.63,1.71,1.92,2.89,2.44,2.89,3.69,2.06
AAVE Average Scores
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
2.39,2.99,2.12,1.82,2.8,1.42,2.67,3.19,2.68,2.46,4.11,2.42
SAE Average Standard Deviations
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
0.5389,0.9334,0.9691,1.0718,1.19,0.644,0.7586,1.4776,0.7282,0.4807,0.8031,0.7291
AAVE Average Standard Deviations
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
0.5436,0.8658,0.9609,0.9983,1.2086,0.5847,0.9846,1.456,0.7122,0.5874,0.7625,0.7353
SAE Average Self Consistency
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
0.9566,0.9116,0.94,0.9455,0.9252,0.9491,0.9171,0.919,0.9184,0.9482,0.9202,0.8904
AAVE Average Self Consistency
Intelligence,Determination,Calmness,Politeness,Aggression,Sophistication,Incoherence,Rudeness,Stupidity,Articulation,Unsophistication,Laziness
0.9577,0.9143,0.9403,0.9538,0.9286,0.9606,0.9234,0.9151,0.9123,0.946,0.9246,0.8928
